Contig,Start,End,Strand
HCP21_5896,1,384,+
HCP21_1401,1,243,+
HCP21_7202,2,328,-
HCP21_4365,1,444,-
HCP21_9006,3,578,+
HCP21_5355,37,936,-
HCP21_4201,3,572,+
HCP21_1667,1,396,+
HCP21_4247,121,639,-
HCP21_1780,2,280,-
HCP21_10432,3,503,+
HCP21_7465,1,999,-
HCP21_8075,60,509,-
HCP21_2_106755,1,104,-
HCP21_10659,15,332,-
HCP21_7222,3,491,+
HCP21_5235,1,423,+
HCP21_886_,67,429,+
HCP21_7193,2,250,-
HCP21_7193,339,416,-
HCP21_5659,1,549,+
HCP21_10915,1,63,-
HCP21_10915,100,687,-
HCP21_2966,2,655,+
HCP21_1978,2,304,+
HCP21_4297,4,672,+
HCP21_8667,2,385,+
HCP21_6970,2,292,+
HCP21_10497,121,639,-
HCP21_5832,12,329,+
HCP21_8671,3,233,-
HCP21_8671,345,524,+
HCP21_5107,2,1000,+
HCP21_9300,2,427,-
HCP21_9531,192,323,-
HCP21_5394,241,327,-
HCP21_2_10142,8,163,+
HCP21_2_16475,3,103,-
HCP21_2_20975,6,128,-
HCP21_2_25475,14,127,-
HCP21_2_32700,4,126,-
HCP21_2_34200,2,132,-
HCP21_2_35200,1,147,+
HCP21_2_43302,10,114,-
HCP21_2_48802,3,149,+
HCP21_2_54802,9,221,-
HCP21_2_65688,3,154,-
HCP21_2_75331,4,123,+
HCP21_2_78331,39,161,-
HCP21_2_82485,3,101,+
HCP21_2_99657,2,127,+
HCP21_2_100157,3,131,+
HCP21_2_102657,3,161,-
HCP21_2_103157,40,157,+
HCP21_2_104657,10,114,-
HCP21_2_106256,1,101,-
HCP21_2_118256,3,209,-
HCP21_2_118756,18,218,-
HCP21_2_119256,18,200,-
HCP21_2_144683,53,166,+
HCP21_2_149183,3,227,+
HCP21_2_152036,3,103,-
HCP21_2_154536,3,112,-
HCP21_2_158536,1,141,+
HCP21_2_159536,2,153,-
HCP21_2_161036,26,181,+
HCP21_2_162536,40,225,-
HCP21_10665,1,480,+
HCP21_7699,3,83,+
HCP21_7699,181,249,+
HCP21_7699,246,1073,+
HCP21_4984,2,280,+
HCP21_9442,1,459,+
HCP21_8929,1,621,+
HCP21_6992,2,133,+
HCP21_6992,112,331,+
HCP21_10622,109,399,-
HCP21_7715,1,354,+
HCP21_7362,3,329,-
HCP21_7221,2,466,+
HCP21_5795,1,231,+
HCP21_8440,67,330,-
HCP21_8440,615,746,+
HCP21_1334,2,361,+
HCP21_9306,3,338,+
HCP21_4363,370,588,+
HCP21_10131,200,592,-
HCP21_6675,3,938,+
HCP21_674_,3,338,-
HCP21_9375,80,445,+
HCP21_5366,44,487,+
HCP21_7545,3,176,+
HCP21_7545,433,600,+
HCP21_1_1_newblercontig06275,2,246,-
HCP21_1_1_newblercontig09184,1,156,+
HCP21_1_1_newblercontig12516,2,177,-
HCP21_1_1_newblercontig13052,3,83,+
HCP21_2_143,11,100,+
HCP21_2_2143,2,108,-
HCP21_2_4643,23,118,+
HCP21_2_5143,4,120,+
HCP21_2_12143,2,196,+
HCP21_2_20476,2,124,+
HCP21_2_20976,6,128,-
HCP21_2_36201,1,135,+
HCP21_2_36701,4,168,-
HCP21_2_37201,2,178,+
HCP21_2_40803,2,91,+
HCP21_2_41803,2,109,+
HCP21_2_44303,4,120,+
HCP21_2_45803,2,127,+
HCP21_2_46803,2,133,+
HCP21_2_51803,15,167,+
HCP21_2_55303,3,230,-
HCP21_2_63689,6,131,+
HCP21_2_68689,1,180,+
HCP21_2_75332,34,129,-
HCP21_2_79832,2,150,-
HCP21_2_80832,2,213,-
HCP21_2_93486,6,236,+
HCP21_2_96158,1,105,+
HCP21_2_97158,7,111,-
HCP21_2_98158,2,117,-
HCP21_2_109757,3,116,+
HCP21_2_116257,30,170,-
HCP21_2_117757,39,197,+
HCP21_2_119257,3,230,+
HCP21_2_140184,2,130,+
HCP21_2_146184,6,152,-
HCP21_2_149184,3,232,-
HCP21_2_157037,3,128,+
HCP21_2_161537,6,194,+
HCP21_2_162037,2,207,-
HCP21_7022,3,356,-
HCP21_4294,2,412,-
HCP21_6189,54,383,+
HCP21_2795,2,706,-
HCP21_2795,724,822,-
HCP21_3701,454,564,+
HCP21_7540,24,441,+
HCP21_5365,104,652,+
HCP21_9226,214,432,+
HCP21_9226,476,1003,+
HCP21_8829,2,463,+
HCP21_718_,1,303,+
HCP21_3185,48,707,-
HCP21_3409,87,338,+
HCP21_2696,3,569,-
HCP21_633_,1,303,+
HCP21_4937,1,327,+
HCP21_10378,2,529,+
HCP21_4189,1,888,+
HCP21_2568,1,75,+
HCP21_2568,94,492,+
HCP21_1290,2,436,+
HCP21_4706,2,220,+
HCP21_4706,257,328,+
HCP21_3801,3,422,-
HCP21_2_1892,24,107,+
HCP21_2_4892,1,120,+
HCP21_2_5392,1,117,+
HCP21_2_25225,4,183,+
HCP21_2_26225,3,211,-
HCP21_2_28950,3,107,+
HCP21_2_36950,43,177,-
HCP21_2_38450,2,219,-
HCP21_2_42552,3,113,+
HCP21_2_50052,2,159,-
HCP21_2_53052,3,158,-
HCP21_2_55052,2,225,-
HCP21_2_63938,2,133,+
HCP21_2_68938,50,205,-
HCP21_2_71581,4,109,-
HCP21_2_72081,15,104,+
HCP21_2_73581,2,118,+
HCP21_2_74581,3,122,-
HCP21_2_76081,2,133,+
HCP21_2_78081,2,85,+
HCP21_2_83735,1,99,+
HCP21_2_91735,2,180,-
HCP21_2_92735,56,208,-
HCP21_2_98407,3,119,-
HCP21_2_99907,26,130,+
HCP21_2_105407,2,231,-
HCP21_2_113006,7,135,+
HCP21_2_118006,3,203,+
HCP21_2_123754,9,98,+
HCP21_2_125254,4,108,+
HCP21_2_126754,2,105,-
HCP21_2_128754,3,148,-
HCP21_2_133933,11,103,+
HCP21_2_138433,5,118,+
HCP21_2_142433,8,85,+
HCP21_2_142933,3,149,-
HCP21_2_153286,2,109,+
HCP21_2_156286,3,121,-
HCP21_2_159286,35,148,+
HCP21_2_159786,1,153,+
HCP21_2_160786,1,174,+
HCP21_2763,1,441,+
HCP21_9627,1,60,+
HCP21_9627,199,762,+
HCP21_2109,2,88,+
HCP21_2109,353,430,-
HCP21_4733,2,361,-
HCP21_6182,50,1156,+
HCP21_6182,1156,1704,+
HCP21_10717,329,397,-
HCP21_3505,2,106,+
HCP21_3505,329,415,-
HCP21_7165,163,609,-
HCP21_9224,3,320,+
HCP21_3170,3,314,+
HCP21_10530,1,681,+
HCP21_3776,1,858,-
HCP21_9488,148,756,-
HCP21_8788,1,936,-
HCP21_5085,2,301,+
HCP21_5064,2,697,+
HCP21_1317,1,762,+
HCP21_1317,791,2443,+
HCP21_746_,47,316,-
HCP21_6131,1,624,+
HCP21_6448,56,613,+
HCP21_2_21977,1,137,+
HCP21_2_45304,2,126,+
HCP21_2_160038,1,162,-
HCP21_1141,2,235,+
HCP21_685_,3,337,-
HCP21_9022,3,107,-
HCP21_9022,452,541,-
HCP21_1329,1,216,-
HCP21_1329,257,340,-
HCP21_8865,2,1381,-
HCP21_8219,102,371,-
HCP21_6878,2,337,-
HCP21_4225,6,425,-
HCP21_4330,3,425,-
HCP21_1640,3,77,-
HCP21_1640,210,302,-
HCP21_4305,74,382,-
HCP21_10537,1,384,+
HCP21_7624,2,337,+
HCP21_2805,507,707,+
HCP21_602_,1,339,-
HCP21_9746,20,310,+
HCP21_569_,1,261,+
HCP21_569_,282,383,+
HCP21_1104,3,410,+
HCP21_5298,1,114,-
HCP21_5298,115,591,+
HCP21_534_,1,144,+
HCP21_534_,235,351,+
HCP21_6409,60,509,-
HCP21_1_1_newblercontig06866,3,242,+
HCP21_2_2145,12,107,-
HCP21_2_3145,3,112,-
HCP21_2_4645,1,117,+
HCP21_2_7145,3,134,+
HCP21_2_10645,15,164,-
HCP21_2_12145,1,195,+
HCP21_2_12645,4,198,+
HCP21_2_13145,3,215,+
HCP21_2_17978,3,110,+
HCP21_2_19978,3,122,-
HCP21_2_20478,3,124,-
HCP21_2_21478,6,131,+
HCP21_2_21978,7,135,+
HCP21_2_22478,3,139,-
HCP21_2_23478,3,152,+
HCP21_2_37203,31,183,+
HCP21_2_38203,3,211,-
HCP21_2_42805,2,106,+
HCP21_2_43805,2,118,+
HCP21_2_45305,3,125,+
HCP21_2_46305,2,130,+
HCP21_2_47305,3,136,-
HCP21_2_53305,2,151,+
HCP21_2_55305,27,227,-
HCP21_2_55805,31,195,+
HCP21_2_63691,8,127,+
HCP21_2_65691,2,153,-
HCP21_2_66691,40,168,+
HCP21_2_71334,3,106,-
HCP21_2_72834,1,114,+
HCP21_2_73834,3,118,-
HCP21_2_80334,2,198,-
HCP21_2_86488,3,118,-
HCP21_2_86988,4,123,+
HCP21_2_88988,3,139,-
HCP21_2_90988,3,136,-
HCP21_2_93488,3,211,-
HCP21_2_95160,2,106,+
HCP21_2_102160,17,142,+
HCP21_2_107759,3,106,-
HCP21_2_111759,2,127,+
HCP21_2_115259,3,160,-
HCP21_2_115759,1,162,+
HCP21_2_116259,3,173,+
HCP21_2_126507,2,127,+
HCP21_2_128007,9,137,+
HCP21_2_135686,3,106,-
HCP21_2_139686,3,128,-
HCP21_2_147186,3,158,+
HCP21_2_160539,49,171,-
HCP21_984_,33,311,-
HCP21_10192,3,344,-
HCP21_5133,584,709,+
HCP21_2835,2,406,+
HCP21_7430,3,539,+
HCP21_2154,244,333,-
HCP21_1254,3,332,+
HCP21_7761,3,761,+
HCP21_7424,1,69,-
HCP21_7424,299,520,-
HCP21_902_,7,405,-
HCP21_5288,477,677,+
HCP21_8566,30,1169,-
HCP21_2096,38,340,-
HCP21_5057,2,334,+
HCP21_10072,3,386,-
HCP21_4269,2,685,+
HCP21_1406,1,315,+
HCP21_2430,333,1091,-
HCP21_2430,1095,1682,-
HCP21_2430,2131,2373,-
HCP21_2430,2511,3089,-
HCP21_3572,3,530,-
HCP21_220_,2,442,-
HCP21_2268,1,273,-
HCP21_2_116760,1,169,-
HCP21_9904,3,449,-
HCP21_5313,5,268,-
HCP21_5313,349,795,-
HCP21_6544,2,694,-
HCP21_3728,1,312,+
HCP21_4041,2,412,-
HCP21_4171,3,566,-
HCP21_5813,2,370,-
HCP21_2734,2,334,+
HCP21_5385,1,342,-
HCP21_10477,3,707,+
HCP21_4289,156,395,+
HCP21_3923,2,187,+
HCP21_3923,215,433,+
HCP21_507_,3,356,-
HCP21_9711,95,505,+
HCP21_9711,489,548,+
HCP21_612_,1,306,+
HCP21_79__,54,1334,+
HCP21_79__,1537,2595,+
HCP21_3111,1,549,+
HCP21_7120,220,435,-
HCP21_8533,1,459,+
HCP21_9461,28,759,+
HCP21_9934,3,350,-
HCP21_9934,426,551,-
HCP21_9426,3,389,+
HCP21_2_124509,1,111,-
HCP21_1155,50,337,+
HCP21_2377,268,339,+
HCP21_3539,37,363,+
HCP21_5562,1,456,-
HCP21_7047,3,731,+
HCP21_6023,36,290,+
HCP21_3712,1,417,+
HCP21_10857,132,356,-
HCP21_10893,79,387,-
HCP21_8262,302,430,+
HCP21_5163,2,409,+
HCP21_3730,43,600,-
HCP21_10744,10,417,-
HCP21_1784,114,356,-
HCP21_6547,5,313,-
HCP21_6342,2,304,+
HCP21_6727,615,761,-
HCP21_6727,840,941,-
HCP21_5092,86,439,-
HCP21_9299,74,508,+
HCP21_7283,2,325,+
HCP21_9931,12,383,-
HCP21_2_6148,3,128,-
HCP21_2_8648,3,146,+
HCP21_2_12148,118,192,-
HCP21_2_15981,13,102,+
HCP21_2_17481,9,110,-
HCP21_2_19481,1,117,+
HCP21_2_29706,3,110,+
HCP21_2_31206,3,116,-
HCP21_2_41808,3,110,-
HCP21_2_44808,2,121,+
HCP21_2_50308,1,159,+
HCP21_2_51308,10,141,+
HCP21_2_52308,9,182,-
HCP21_2_53808,1,204,+
HCP21_2_62194,4,120,-
HCP21_2_66194,1,162,+
HCP21_2_68194,4,195,+
HCP21_2_72837,3,104,-
HCP21_2_75337,3,124,-
HCP21_2_83991,2,103,+
HCP21_2_85991,1,117,+
HCP21_2_87491,2,126,-
HCP21_2_91991,3,187,-
HCP21_2_92491,3,154,-
HCP21_2_101163,3,140,+
HCP21_2_109762,10,114,-
HCP21_2_118262,3,208,-
HCP21_2_131510,4,192,+
HCP21_2_134689,11,106,+
HCP21_2_141189,20,127,+
HCP21_2_142189,8,139,+
HCP21_2_145689,45,176,+
HCP21_2_149689,60,245,-
HCP21_2_152542,2,106,+
HCP21_2_162042,3,203,-
HCP21_8011,11,349,-
HCP21_3823,1,363,-
HCP21_6205,37,654,-
HCP21_7410,37,375,-
HCP21_672_,2,337,-
HCP21_742_,3,131,+
HCP21_742_,168,296,+
HCP21_1642,1,306,+
HCP21_1217,3,572,+
HCP21_773_,23,328,-
HCP21_8512,19,747,+
HCP21_827_,3,341,-
HCP21_3135,45,368,-
HCP21_6908,2,472,+
HCP21_9103,1,285,-
HCP21_1391,20,367,+
HCP21_10316,1,450,-
HCP21_5188,2,406,-
HCP21_9552,2,511,+
HCP21_2596,3,581,+
HCP21_9061,128,415,-
HCP21_8592,3,320,+
HCP21_6379,22,519,-
HCP21_10844,61,1701,+
HCP21_4360,2,352,+
HCP21_6311,40,516,+
HCP21_3568,74,490,-
HCP21_8575,1,306,+
HCP21_7712,1,687,+
HCP21_6839,3,410,+
HCP21_3240,3,323,+
HCP21_7280,76,180,-
HCP21_266_,38,394,+
HCP21_4356,3,326,+
HCP21_6110,3,185,-
HCP21_6110,245,400,-
HCP21_938_,1,303,-
HCP21_5234,10,339,-
HCP21_3845,2,589,-
HCP21_5251,52,297,-
HCP21_7534,1,360,-
HCP21_2943,3,296,-
HCP21_8478,25,393,-
HCP21_8478,467,667,-
HCP21_8478,669,752,-
HCP21_6882,21,191,-
HCP21_6882,377,520,-
HCP21_6882,534,854,-
HCP21_6882,826,993,+
HCP21_5746,66,527,-
HCP21_1_1_newblercontig11971,7,173,-
HCP21_2_93493,1,237,-
HCP21_788_,242,337,-
HCP21_7809,1,594,-
HCP21_345_,1,336,-
HCP21_320_,2,361,-
HCP21_7644,1,339,-
HCP21_58__,3,686,-
HCP21_58__,765,2570,-
HCP21_2750,1,318,-
HCP21_1576,3,278,-
HCP21_1576,268,345,-
HCP21_2026,1,399,+
HCP21_3128,3,362,-
HCP21_3665,1,168,+
HCP21_3665,191,388,-
HCP21_3665,1029,1091,-
HCP21_3843,2,1312,+
HCP21_2149,1,252,-
HCP21_3579,2,388,+
HCP21_3295,410,517,-
HCP21_4335,3,104,-
HCP21_4335,137,349,+
HCP21_4335,310,696,+
HCP21_1905,3,305,+
HCP21_1503,131,310,+
HCP21_8184,86,712,-
HCP21_6065,32,622,+
HCP21_7244,289,381,+
HCP21_1_1_newblercontig08624,80,223,+
HCP21_1_1_newblercontig09193,3,215,+
HCP21_1_1_newblercontig13589,5,160,+
HCP21_2_5651,3,125,-
HCP21_2_7651,2,139,+
HCP21_2_15984,3,104,+
HCP21_2_19984,8,121,-
HCP21_2_21484,3,128,+
HCP21_2_22984,20,145,-
HCP21_2_23484,8,154,+
HCP21_2_23984,3,161,+
HCP21_2_25984,6,194,-
HCP21_2_31709,1,120,+
HCP21_2_34209,2,118,+
HCP21_2_44311,6,119,+
HCP21_2_48311,3,143,+
HCP21_2_49311,5,148,-
HCP21_2_54311,4,210,-
HCP21_2_60697,3,112,-
HCP21_2_61697,1,117,+
HCP21_2_65197,3,145,-
HCP21_2_65697,17,142,+
HCP21_2_75340,2,127,+
HCP21_2_78840,1,168,+
HCP21_2_79840,44,187,-
HCP21_2_86994,3,124,-
HCP21_2_94666,2,100,+
HCP21_2_95666,3,107,-
HCP21_2_98166,2,117,-
HCP21_2_101666,18,137,+
HCP21_2_110765,5,121,-
HCP21_2_111765,3,119,+
HCP21_2_117765,3,196,-
HCP21_2_118765,2,217,+
HCP21_2_123013,29,106,+
HCP21_2_124013,1,114,+
HCP21_2_125513,3,122,-
HCP21_2_126513,5,124,+
HCP21_2_127013,51,131,+
HCP21_2_139692,3,128,+
HCP21_2_140192,6,131,-
HCP21_2_147192,2,196,+
HCP21_2_149192,3,233,+
HCP21_2_154545,2,114,-
HCP21_2_160045,3,83,-
HCP21_4797,3,383,-
HCP21_3975,40,345,+
HCP21_3323,2,352,-
HCP21_3777,77,427,-
HCP21_10485,2,502,+
HCP21_8473,62,595,-
HCP21_4622,1,303,+
HCP21_4165,3,599,-
HCP21_3448,1,120,+
HCP21_9826,2,358,+
HCP21_7770,1,447,+
HCP21_7054,361,519,+
HCP21_3565,3,689,+
HCP21_1620,1,348,+
HCP21_2794,2,115,+
HCP21_2794,278,349,+
HCP21_352_,46,246,-
HCP21_5048,1,105,+
HCP21_5048,153,359,-
HCP21_5048,381,461,-
HCP21_3203,1,366,+
HCP21_6366,2,436,-
HCP21_7734,3,851,-
HCP21_9492,2,415,+
HCP21_8740,3,308,-
HCP21_2_30210,12,112,+
HCP21_2_154546,1,114,+
HCP21_7530,58,279,-
HCP21_7530,316,618,-
HCP21_7530,1111,1284,-
HCP21_8198,13,414,+
HCP21_9449,39,338,-
HCP21_5663,209,346,-
HCP21_4257,2,241,+
HCP21_4980,16,297,+
HCP21_6363,41,412,-
HCP21_1850,2,307,+
HCP21_7133,55,327,-
HCP21_8536,2,82,+
HCP21_6979,18,347,-
HCP21_8891,1,393,-
HCP21_1258,30,422,-
HCP21_2241,3,317,+
HCP21_5884,2,250,+
HCP21_6606,9,362,-
HCP21_6444,3,476,+
HCP21_10140,1,423,-
HCP21_7792,73,420,-
HCP21_151_,1,2115,+
HCP21_5386,24,353,+
HCP21_411_,3,317,+
HCP21_1_1_newblercontig09768,2,210,-
HCP21_1_1_newblercontig10886,3,182,+
HCP21_2_11653,47,187,+
HCP21_2_14153,49,240,+
HCP21_2_15486,24,101,-
HCP21_2_16486,3,104,+
HCP21_2_24486,3,164,+
HCP21_2_30211,11,112,+
HCP21_2_36211,2,165,-
HCP21_2_37711,8,196,+
HCP21_2_50313,2,162,-
HCP21_2_50813,53,166,+
HCP21_2_64199,3,134,+
HCP21_2_65199,8,145,-
HCP21_2_68699,2,157,+
HCP21_2_89996,3,145,-
HCP21_2_90496,3,158,+
HCP21_2_91996,15,185,+
HCP21_2_102168,2,135,-
HCP21_2_102668,1,159,+
HCP21_2_105168,39,221,+
HCP21_2_111267,4,123,+
HCP21_2_112767,10,135,+
HCP21_2_113767,3,142,-
HCP21_2_114767,3,155,-
HCP21_2_117767,2,178,+
HCP21_2_120515,2,99,-
HCP21_2_132015,3,181,-
HCP21_2_141694,3,139,-
HCP21_2_143694,16,135,+
HCP21_2_144694,3,166,-
HCP21_2_159547,51,152,-
HCP21_9638,1,246,-
HCP21_9638,385,735,-
HCP21_5159,52,210,-
HCP21_5159,174,431,-
HCP21_2517,3,1070,+
HCP21_8517,3,272,-
HCP21_5594,3,499,-
HCP21_103_,3,2081,+
HCP21_8802,30,581,+
HCP21_4605,1,378,-
HCP21_9539,2,337,-
HCP21_7977,1,321,+
HCP21_6486,3,383,-
HCP21_8106,3,482,-
HCP21_1360,2,307,-
HCP21_1372,2,139,+
HCP21_1989,3,305,+
HCP21_2094,1,357,-
HCP21_8971,251,346,+
HCP21_8971,378,440,+
HCP21_8645,25,522,+
HCP21_8952,5,403,+
HCP21_8288,145,966,+
HCP21_10552,2,124,+
HCP21_10552,263,325,+
HCP21_2_95908,11,109,-
HCP21_10751,3,488,+
HCP21_2500,149,340,+
HCP21_613_,4,268,+
HCP21_6273,443,547,-
HCP21_3689,11,562,-
HCP21_4086,310,372,-
HCP21_546_,2,61,+
HCP21_8218,25,396,-
HCP21_8218,450,554,+
HCP21_6136,3,401,+
HCP21_8887,471,713,+
HCP21_8697,52,582,+
HCP21_4343,104,448,-
HCP21_10221,84,623,-
HCP21_5914,1,360,+
HCP21_10299,1,348,+
HCP21_10299,360,476,+
HCP21_10299,481,609,+
HCP21_3865,2,547,+
HCP21_10402,39,533,-
HCP21_10402,514,603,-
HCP21_8217,2,307,+
HCP21_2512,1,303,+
HCP21_3822,3,146,+
HCP21_7460,51,203,+
HCP21_7460,288,416,+
HCP21_6583,47,628,-
HCP21_1_1_newblercontig06286,143,247,+
HCP21_1_1_newblercontig09196,11,217,+
HCP21_1_1_newblercontig10331,4,204,+
HCP21_1_1_newblercontig12528,3,175,-
HCP21_2_4154,14,115,-
HCP21_2_7154,3,130,-
HCP21_2_9654,2,157,+
HCP21_2_13654,9,224,-
HCP21_2_15987,3,104,+
HCP21_2_17487,1,110,+
HCP21_2_28712,3,106,-
HCP21_2_32712,8,124,+
HCP21_2_33712,25,105,-
HCP21_2_34712,2,142,+
HCP21_2_38712,60,227,-
HCP21_2_47314,12,137,-
HCP21_2_48814,3,149,-
HCP21_2_49814,46,147,-
HCP21_2_51814,1,177,+
HCP21_2_55314,36,230,-
HCP21_2_66200,11,160,+
HCP21_2_66700,8,169,-
HCP21_2_67200,41,172,-
HCP21_2_86497,3,116,-
HCP21_2_88997,3,139,-
HCP21_2_91497,7,171,+
HCP21_2_91997,2,187,+
HCP21_2_100169,5,118,+
HCP21_2_100669,3,134,-
HCP21_2_101169,3,140,-
HCP21_2_103669,4,180,-
HCP21_2_110768,4,120,+
HCP21_2_111768,2,126,-
HCP21_2_113768,2,144,-
HCP21_2_115268,1,161,-
HCP21_2_115768,2,165,-
HCP21_2_117268,3,188,-
HCP21_2_121016,2,76,-
HCP21_2_133695,1,99,+
HCP21_2_137195,4,114,-
HCP21_2_139695,2,126,-
HCP21_2_146195,4,183,+
HCP21_2_147695,39,188,+
HCP21_2_149695,47,244,+
HCP21_5238,2,427,-
HCP21_3937,90,398,+
HCP21_5141,2,1024,-
HCP21_9141,3,245,+
HCP21_3806,3,164,-
HCP21_3806,209,901,-
HCP21_6028,3,71,-
HCP21_7630,1,189,+
HCP21_9588,1,486,-
HCP21_8842,1,78,+
HCP21_793_,1,324,+
HCP21_1624,1,81,-
HCP21_1624,164,385,-
HCP21_7041,3,386,+
HCP21_10641,313,798,+
HCP21_7456,3,956,-
HCP21_214_,265,339,-
HCP21_9261,3,515,-
HCP21_10511,197,1594,+
HCP21_10580,35,553,-
HCP21_7637,1,93,+
HCP21_5347,440,589,+
HCP21_8386,5,697,-
HCP21_9135,1,315,-
HCP21_6335,1,78,+
HCP21_6335,113,562,+
HCP21_3162,1,660,-
HCP21_3162,854,1117,-
HCP21_9184,189,608,-
HCP21_9184,815,883,-
HCP21_6561,3,407,-
HCP21_5858,586,678,-
HCP21_3906,3,311,+
HCP21_3906,352,414,-
HCP21_8758,1,531,+
HCP21_8758,710,1759,-
HCP21_10396,4,563,-
HCP21_5091,2,913,+
HCP21_1205,2,124,-
HCP21_1205,196,327,-
HCP21_7297,718,879,+
HCP21_7978,20,373,-
HCP21_4030,3,893,-
HCP21_6589,62,904,+
HCP21_6622,2,454,-
HCP21_1034,1,408,+
HCP21_4353,7,105,-
HCP21_10384,3,527,+
HCP21_10280,2,346,+
HCP21_10616,2,91,-
HCP21_10616,88,1074,-
HCP21_10616,1071,1205,-
HCP21_10182,3,71,-
HCP21_10182,58,222,-
HCP21_10182,219,542,-
HCP21_10182,676,912,-
HCP21_10182,949,1035,-
HCP21_6370,3,137,-
HCP21_6370,119,406,-
HCP21_6630,298,414,+
HCP21_351_,49,333,-
HCP21_5181,3,878,+
HCP21_3528,3,395,+
HCP21_5391,3,320,-
HCP21_9633,26,190,-
HCP21_9633,276,383,-
HCP21_537_,3,248,-
HCP21_1964,43,411,-
HCP21_7441,3,527,+
HCP21_8814,2,467,+
HCP21_2892,1,519,-
HCP21_659_,2,337,-
HCP21_9168,24,524,-
HCP21_6466,79,804,-
HCP21_10269,1,789,+
HCP21_2803,39,446,+
HCP21_8895,2,310,-
HCP21_10258,36,218,+
HCP21_10258,319,396,-
HCP21_6993,2,457,+
HCP21_1952,2,352,-
HCP21_4612,33,425,+
HCP21_10489,13,351,-
HCP21_1_1_newblercontig06879,14,211,+
HCP21_1_1_newblercontig09199,12,110,-
HCP21_1_1_newblercontig10890,1,129,+
HCP21_1_1_newblercontig13066,2,169,+
HCP21_1_1_newblercontig14636,3,146,-
HCP21_2_5157,4,121,+
HCP21_2_11157,2,178,-
HCP21_2_19990,2,121,+
HCP21_2_24990,15,179,+
HCP21_2_34215,3,136,-
HCP21_2_37715,2,195,-
HCP21_2_39817,11,103,+
HCP21_2_40817,6,104,-
HCP21_2_45317,4,126,+
HCP21_2_52317,59,181,+
HCP21_2_55817,87,245,+
HCP21_2_60203,3,110,+
HCP21_2_60703,1,114,+
HCP21_2_61703,3,112,-
HCP21_2_72346,6,95,+
HCP21_2_77846,2,109,+
HCP21_2_85000,2,112,+
HCP21_2_87000,3,122,-
HCP21_2_88500,2,130,+
HCP21_2_90500,1,156,+
HCP21_2_97672,2,114,-
HCP21_2_103672,3,179,-
HCP21_2_108771,1,111,+
HCP21_2_113771,1,135,+
HCP21_2_117771,3,197,-
HCP21_2_122019,12,101,+
HCP21_2_132019,3,173,+
HCP21_2_132519,3,218,+
HCP21_2_136198,2,111,-
HCP21_2_140698,10,132,+
HCP21_2_143198,5,148,-
HCP21_2_146698,1,189,+
HCP21_2_154551,3,112,-
HCP21_2_162551,10,225,-
HCP21_4115,56,1159,+
HCP21_3303,1,351,+
HCP21_7970,3,116,-
HCP21_7970,257,493,-
HCP21_7970,643,792,-
HCP21_811_,1,492,+
HCP21_751_,1,327,+
HCP21_2425,3,398,+
HCP21_2425,410,751,+
HCP21_2425,843,1883,-
HCP21_6636,1,72,-
HCP21_6636,212,688,-
HCP21_3396,3,323,-
HCP21_6064,1,108,-
HCP21_3674,121,309,+
HCP21_3674,309,806,+
HCP21_4440,1,1143,+
HCP21_2774,2,91,+
HCP21_7009,2,376,+
HCP21_6142,3,380,-
HCP21_8427,2,394,-
HCP21_8947,1,612,+
HCP21_6597,111,527,+
HCP21_1286,4,273,+
HCP21_10801,2,454,-
HCP21_4170,25,312,+
HCP21_10600,2,376,+
HCP21_2_84501,1,105,-
HCP21_1313,2,259,-
HCP21_3895,1,489,+
HCP21_10362,52,390,-
HCP21_3756,3,167,-
HCP21_1746,3,356,+
HCP21_8646,3,350,+
HCP21_4768,1,192,+
HCP21_6776,147,302,-
HCP21_8047,1,843,-
HCP21_7911,390,617,-
HCP21_7911,749,1033,+
HCP21_6017,1,483,-
HCP21_2313,1,225,-
HCP21_7825,3,356,-
HCP21_6718,56,316,+
HCP21_3679,2,538,+
HCP21_2939,1,474,-
HCP21_2472,48,377,-
HCP21_4744,3,419,-
HCP21_7921,3,380,-
HCP21_2016,2,349,-
HCP21_1617,29,331,-
HCP21_8691,3,350,+
HCP21_952_,1,306,-
HCP21_465_,2,328,+
HCP21_7224,293,352,-
HCP21_1703,62,571,-
HCP21_10761,1,441,+
HCP21_1004,3,89,+
HCP21_10943,2,349,+
HCP21_3625,70,942,+
HCP21_1695,8,295,-
HCP21_6716,2,316,+
HCP21_3653,2,412,+
HCP21_2370,2,448,-
HCP21_6991,25,576,+
HCP21_7937,1,318,+
HCP21_9466,59,1138,+
HCP21_9466,1155,1583,-
HCP21_9786,2,292,+
HCP21_7831,2,625,-
HCP21_4017,3,851,-
HCP21_10154,315,785,-
HCP21_2_8160,3,143,-
HCP21_2_9660,3,158,+
HCP21_2_54320,1,210,+
HCP21_2_54820,77,220,+
HCP21_2_61706,3,119,+
HCP21_2_66206,3,155,+
HCP21_2_66706,2,160,+
HCP21_2_67706,3,194,+
HCP21_2_69849,11,103,+
HCP21_2_73349,3,112,-
HCP21_2_73849,3,109,-
HCP21_2_74349,3,122,-
HCP21_2_74849,1,126,+
HCP21_2_81349,1,228,+
HCP21_2_82003,2,100,+
HCP21_2_86503,3,112,-
HCP21_7891,66,845,-
